x, y, z, phi1, phi2
-0.0228125, -0.0378125, 1e-12, 4.35766543664922, -0.0156157659793296
-0.0221875, -0.0378125, 1e-12, 4.36216512775658, -0.0157707367078531
-0.0215625, -0.0378125, 1e-12, 4.36670944536507, -0.0159107446817683
-0.0209375, -0.0378125, 1e-12, 4.37129385015566, -0.0160335830627912
-0.0203125, -0.0378125, 1e-12, 4.37591315201211, -0.016137005491374
-0.0396875, -0.0371875, 1e-12, 4.25611230293124, -0.0150347762542206
-0.0390625, -0.0371875, 1e-12, 4.25888351750379, -0.0150534054153647
-0.0384375, -0.0371875, 1e-12, 4.26220558259822, -0.0150905900872889
-0.0378125, -0.0371875, 1e-12, 4.26553823256732, -0.0151461824983395
-0.0371875, -0.0371875, 1e-12, 4.26888564616912, -0.0152199598196766
-0.0365625, -0.0371875, 1e-12, 4.272251946496, -0.0153116227765411
-0.0359375, -0.0371875, 1e-12, 4.27564118439937, -0.0154207938249655
-0.0353125, -0.0371875, 1e-12, 4.27905732142127, -0.015547014918739
-0.0346875, -0.0371875, 1e-12, 4.28250421213514, -0.0156897448981955
-0.0340625, -0.0371875, 1e-12, 4.28598558580501, -0.0158483565395673
-0.0334375, -0.0371875, 1e-12, 4.28950502728141, -0.016022133311104
-0.0328125, -0.0371875, 1e-12, 4.29306595706255, -0.0162102658902734
-0.0321875, -0.0371875, 1e-12, 4.29667161046217, -0.0164118485046006
-0.0315625, -0.0371875, 1e-12, 4.30032501583932, -0.0166258751676674
-0.0309375, -0.0371875, 1e-12, 4.30402897186213, -0.01685123589093
-0.0303125, -0.0371875, 1e-12, 4.30778602379623, -0.0170867129615383
-0.0296875, -0.0371875, 1e-12, 4.31159843882924, -0.0173309773860613
-0.0290625, -0.0371875, 1e-12, 4.31546818046661, -0.0175825856097258
-0.0284375, -0.0371875, 1e-12, 4.31939688205946, -0.0178399766304916
-0.0278125, -0.0371875, 1e-12, 4.32338581955385, -0.0181014696364066
-0.0271875, -0.0371875, 1e-12, 4.32743588358134, -0.0183652623034162
-0.0265625, -0.0371875, 1e-12, 4.33154755104395, -0.018629429898368
-0.0259375, -0.0371875, 1e-12, 4.33572085638185, -0.0188919253383263
-0.0253125, -0.0371875, 1e-12, 4.33995536274889, -0.0191505803619158
-0.0246875, -0.0371875, 1e-12, 4.34425013335978, -0.019403107970846
-0.0240625, -0.0371875, 1e-12, 4.34860370331185, -0.0196471062996362
-0.0234375, -0.0371875, 1e-12, 4.35301405222422, -0.0198800640683037
-0.0228125, -0.0371875, 1e-12, 4.35747857807619, -0.0200993677659325
-0.0221875, -0.0371875, 1e-12, 4.36199407266472, -0.0203023107022859
-0.0215625, -0.0371875, 1e-12, 4.36655669913605, -0.0204861040492507
-0.0209375, -0.0371875, 1e-12, 4.37116197207895, -0.0206478899739695
-0.0203125, -0.0371875, 1e-12, 4.37580474069391, -0.0207847569402993
-0.0396875, -0.0365625, 1e-12, 4.25610190563675, -0.0183379556840098
-0.0390625, -0.0365625, 1e-12, 4.25885236623236, -0.0183608750887915
-0.0384375, -0.0365625, 1e-12, 4.26215379945147, -0.0184066248350479
-0.0378125, -0.0365625, 1e-12, 4.26546602192978, -0.0184750262082812
-0.0371875, -0.0365625, 1e-12, 4.26879329601937, -0.0185658096742332
-0.0365625, -0.0365625, 1e-12, 4.27213983021911, -0.0186786131440035
-0.0359375, -0.0365625, 1e-12, 4.27550976307698, -0.0188129796948575
-0.0353125, -0.0365625, 1e-12, 4.27890714656841, -0.0189683547763398
-0.0346875, -0.0365625, 1e-12, 4.28233592884526, -0.0191440829396231
-0.0340625, -0.0365625, 1e-12, 4.28579993625656, -0.0193394041365852
-0.0334375, -0.0365625, 1e-12, 4.28930285455062, -0.0195534496442944
-0.0328125, -0.0365625, 1e-12, 4.29284820917814, -0.0197852376803286
-0.0321875, -0.0365625, 1e-12, 4.29643934462795, -0.0200336687846341
-0.0315625, -0.0365625, 1e-12, 4.30007940274054, -0.0202975210545711
-0.0309375, -0.0365625, 1e-12, 4.3037712999611, -0.0205754453311184
-0.0303125, -0.0365625, 1e-12, 4.30751770351164, -0.0208659604461248
-0.0296875, -0.0365625, 1e-12, 4.3113210064828, -0.0211674486526357
-0.0290625, -0.0365625, 1e-12, 4.31518330186944, -0.0214781513725788
-0.0284375, -0.0365625, 1e-12, 4.31910635560002, -0.0217961654084178
-0.0278125, -0.0365625, 1e-12, 4.32309157863867, -0.0221194397771187
-0.0271875, -0.0365625, 1e-12, 4.32713999827056, -0.0224457733360668
-0.0265625, -0.0365625, 1e-12, 4.3312522287153, -0.0227728133805369
-0.0259375, -0.0365625, 1e-12, 4.33542844125009, -0.0230980554009807
-0.0253125, -0.0365625, 1e-12, 4.33966833406321, -0.0234188441948293
-0.0246875, -0.0365625, 1e-12, 4.34397110209992, -0.0237323765314442
-0.0240625, -0.0365625, 1e-12, 4.34833540720473, -0.024035705569643
-0.0234375, -0.0365625, 1e-12, 4.35275934890813, -0.0243257472241953
-0.0228125, -0.0365625, 1e-12, 4.35724043624866, -0.0245992886701913
-0.0221875, -0.0365625, 1e-12, 4.36177556106417, -0.0248529991619215
-0.0215625, -0.0365625, 1e-12, 4.36636097322675, -0.0250834433248046
-0.0209375, -0.0365625, 1e-12, 4.37099225833333, -0.0252870970550106
-0.0203125, -0.0365625, 1e-12, 4.37566431839725, -0.0254603661309716
-0.0396875, -0.0359375, 1e-12, 4.25608933914248, -0.0216181714200009
-0.0390625, -0.0359375, 1e-12, 4.25881471490511, -0.0216454698367428
-0.0384375, -0.0359375, 1e-12, 4.26209120808383, -0.0216999627853815
-0.0378125, -0.0359375, 1e-12, 4.26537873292527, -0.0217814417843043
-0.0371875, -0.0359375, 1e-12, 4.26868165100273, -0.0218895923395054
-0.0365625, -0.0359375, 1e-12, 4.27200427226364, -0.0220239918418453
-0.0359375, -0.0359375, 1e-12, 4.27535083952104, -0.0221841068024068
-0.0353125, -0.0359375, 1e-12, 4.27872551238512, -0.0223692894601628
-0.0346875, -0.0359375, 1e-12, 4.28213235051984, -0.0225787738056003
-0.0340625, -0.0359375, 1e-12, 4.28557529611646, -0.0228116710741619
-0.0334375, -0.0359375, 1e-12, 4.28905815548321, -0.0230669647739528
-0.0328125, -0.0359375, 1e-12, 4.29258457965971, -0.0233435053237592
-0.0321875, -0.0359375, 1e-12, 4.29615804397625, -0.023640004389588
-0.0315625, -0.0359375, 1e-12, 4.29978182649092, -0.0239550290209686
-0.0309375, -0.0359375, 1e-12, 4.30345898525328, -0.0242869957018562
-0.0303125, -0.0359375, 1e-12, 4.30719233436092, -0.0246341644453915
-0.0296875, -0.0359375, 1e-12, 4.31098441879594, -0.0249946330764576
-0.0290625, -0.0359375, 1e-12, 4.31483748805167, -0.0253663318611423
-0.0284375, -0.0359375, 1e-12, 4.3187534685859, -0.0257470186571985
-0.0278125, -0.0359375, 1e-12, 4.32273393516673, -0.0261342747745603
-0.0271875, -0.0359375, 1e-12, 4.32678008120919, -0.0265255017489222
-0.0265625, -0.0359375, 1e-12, 4.33089268823662, -0.0269179192445038
